Series ID,Year,Period,Label,Value
SMU01000000500000003,2020,M01,2020 Jan,25.00
SMU01000000500000003,2020,M02,2020 Feb,25.07
SMU01000000500000003,2020,M03,2020 Mar,25.09
SMU01000000500000003,2020,M04,2020 Apr,26.56
SMU01000000500000003,2020,M05,2020 May,25.70
SMU01000000500000003,2020,M06,2020 Jun,25.45
SMU01000000500000003,2020,M07,2020 Jul,25.83
SMU01000000500000003,2020,M08,2020 Aug,26.11
SMU01000000500000003,2020,M09,2020 Sep,26.28
SMU01000000500000003,2020,M10,2020 Oct,25.99
SMU01000000500000003,2020,M11,2020 Nov,26.36
SMU01000000500000003,2020,M12,2020 Dec,26.52
SMU01000000500000003,2021,M01,2021 Jan,26.67
SMU01000000500000003,2021,M02,2021 Feb,26.56
SMU01000000500000003,2021,M03,2021 Mar,26.49
SMU01000000500000003,2021,M04,2021 Apr,27.46
SMU01000000500000003,2021,M05,2021 May,27.32
SMU01000000500000003,2021,M06,2021 Jun,27.13
SMU01000000500000003,2021,M07,2021 Jul,27.38
SMU01000000500000003,2021,M08,2021 Aug,27.70
SMU01000000500000003,2021,M09,2021 Sep,27.97
SMU01000000500000003,2021,M10,2021 Oct,27.66
SMU01000000500000003,2021,M11,2021 Nov,27.56
SMU01000000500000003,2021,M12,2021 Dec,27.54
SMU01000000500000003,2022,M01,2022 Jan,28.29
SMU01000000500000003,2022,M02,2022 Feb,28.11
SMU01000000500000003,2022,M03,2022 Mar,28.11
SMU01000000500000003,2022,M04,2022 Apr,28.36
SMU01000000500000003,2022,M05,2022 May,28.42
SMU01000000500000003,2022,M06,2022 Jun,28.10
SMU01000000500000003,2022,M07,2022 Jul,28.41
SMU01000000500000003,2022,M08,2022 Aug,28.34
SMU01000000500000003,2022,M09,2022 Sep,28.47
SMU01000000500000003,2022,M10,2022 Oct,29.02
SMU01000000500000003,2022,M11,2022 Nov,28.91
SMU01000000500000003,2022,M12,2022 Dec,29.02
SMU02000000500000003,2020,M01,2020 Jan,29.84
SMU02000000500000003,2020,M02,2020 Feb,29.81
SMU02000000500000003,2020,M03,2020 Mar,29.88
SMU02000000500000003,2020,M04,2020 Apr,30.92
SMU02000000500000003,2020,M05,2020 May,30.69
SMU02000000500000003,2020,M06,2020 Jun,30.13
SMU02000000500000003,2020,M07,2020 Jul,30.52
